Transaction reference number,Posting Date,Merchant Name,Final Transaction Amount,Description
1670457632,02/01/12,STATIONERY OFFICE BOOK,664.18,"Copies of Parliamentary Business/Order papers, Bills and Amendments  "
1670457633,02/01/12,STATIONERY OFFICE BOOK,823.95,"Copies of Parliamentary Business/Order papers, Bills and Amendments  "
1671637875,04/01/12,PITMAN TRAINING CENTRE,714.00,Training Course
1672304166,05/01/12,HEMSLEY FRASER GROUP,926.10,Training course
1673160205,06/01/12,GMO GLOBALSIGN LIM,514.80,Purchase of  SSL Certificate (IT Security) for Single Domain Team
1673160210,06/01/12,GOVERNMENT CAR AND DESPATCH,564.61,Journeys for Permanent Secretary - Sir Jon Cunliffe
1673160209,06/01/12,GOVERNMENT CAR AND DESPATCH,863.03,Journeys for Permanent Secretary - Sir Jon Cunliffe
1673160208,06/01/12,GOVERNMENT CAR AND DESPATCH,1227.53,Journeys for Permanent Secretary - Sir Jon Cunliffe
1673160202,06/01/12,NATIONAL SCHOOL OF GOVERNMENT,1775.00,Training course
1673160207,06/01/12,GOVERNMENT CAR AND DESPATCH,2109.29,Journeys for Permanent Secretary - Sir Jon Cunliffe
1674261958,09/01/12,CANON UK LTD,868.39,Photocopier rental charge
1674262023,09/01/12,JONES YARRELL LEADENHALL,970.72,Newspapers & Periodicals
1676672464,11/01/12,SOLUTIONS GROUP (UK),594.50,Printer consumables
1677711111,12/01/12,INFORMA UK,532.00,Departmental copies of recently published Official History of North Sea Oil and Gas
1678842470,13/01/12,CANNON TECHNOLOGIES LT,1735.02,Printer consumables
1680261423,16/01/12,PAYPAL  247,612.35,Equipment hire for an event for central government procurement practitioners
1680261305,16/01/12,STATIONERY OFFICE BOOK,722.50,"Copies of Parliamentary Business/Order papers, Bills and Amendments  "
1680261287,16/01/12,STATIONERY OFFICE BOOK,909.35,"Copies of Parliamentary Business/Order papers, Bills and Amendments  "
1680261280,16/01/12,STATIONERY OFFICE BOOK,1000.00,"Copies of Parliamentary Business/Order papers, Bills and Amendments  "
1681796631,17/01/12,WWW.VODAFONE.COM,1594.69,Pager costs
1682676286,18/01/12,BANNER BUSINESS SUPPLIES,652.94,Printing paper
1682676287,18/01/12,BANNER BUSINESS SUPPLIES,652.94,Printing paper
1682676288,18/01/12,BANNER BUSINESS SUPPLIES,652.94,Printing paper
1682676248,18/01/12,HEMSLEY FRASER GROUP,2399.04,Training course
1683706757,19/01/12,WISTON HOUSE,500.00,Training course
1683706731,19/01/12,NATIONAL SCHOOL OF GOVERNMENT,910.00,Training course
1684880808,20/01/12,EBUYER (UK) LTD,517.41,3 large screens
1689000486,25/01/12,CANON UK LTD,577.07,Photocopier rental charge
1689000524,25/01/12,NATIONAL SCHOOL OF GOVERNMENT,1180.00,Training course
1689000460,25/01/12,WWW.ILXGROUP.COM,1434.00,Training course
1689000485,25/01/12,LANODE LTD,1466.40,Printer consumables
1690064104,26/01/12,CENTRAL OFFICE SUPPLIES,598.60,Stationery
1692676287,30/01/12,XMA LTD,504.48,Printer consumables
1692676289,30/01/12,XMA LTD,504.48,Printer consumables
1692676291,30/01/12,XMA LTD,504.48,Printer consumables
1692676293,30/01/12,XMA LTD,504.48,Printer consumables
1692676335,30/01/12,STATIONERY OFFICE BOOK,507.68,Copies of an official parliamentary publication
1692676718,30/01/12,XMA LTD,532.58,Printer consumables
1692676649,30/01/12,GEORGETOWN INN,538.61,4 nights hotel accommodation in Washington
1692676284,30/01/12,XMA LTD,569.66,Printer consumables
1692676286,30/01/12,XMA LTD,593.47,Printer consumables
1692676767,30/01/12,DRI Adobe Sales,1725.24,IT Software
1694563725,31/01/12,EUROFFICE LIMITED,500.00,Printer consumables
1694563721,31/01/12,BT PAY BY PHONE,694.69,BT Line rental
1694563700,31/01/12,RSA CONFERENCE,1112.55,Training course
1646573325,01/12/11,BANNER BUSINESS SUPPLIES,513.45,Stationery
1646573385,01/12/11,XMA LTD,576.00,IT consumables
1646573371,01/12/11,INFORMA UK,532.00,Purchase of publications
1649268268,05/12/11,SOAS,900.00,Training Course
1651104925,06/12/11,WHITEHALL & INDUSTRY,540.00,Attendance at a seminar
1651104926,06/12/11,WHITEHALL & INDUSTRY,540.00,Attendance at a seminar
1651104928,06/12/11,WHITEHALL & INDUSTRY,540.00,Attendance at a seminar
1651104965,06/12/11,SCOTRAIL TELESALES,"1,127.00",Rail Tickets
1651104923,06/12/11,COMMS EXPRESS LTD,747.12,IT Hardware
1653062799,08/12/11,BANNER BUSINESS SUPPLIES,603.86,Stationery
1653062766,08/12/11,STATIONERY OFFICE BOOK,"1,000.00","Copies of Parliamentary Business/Order papers, Bills and Amendments  "
1653062750,08/12/11,XMA LTD,589.88,IT consumables
1653062753,08/12/11,XMA LTD,558.57,IT consumables
1654235395,09/12/11,NATIONAL SCHOOL OF GOVERNMENT,"1,080.00",Training Course
1657556753,13/12/11,JONES YARRELL LEADENHALL,"1,084.30",Newspapers & Periodicals
1658469490,14/12/11,NATIONAL SCHOOL OF GOVERNMENT,"1,775.00",Training Course
1658469657,14/12/11,XMA LTD,589.88,IT consumables
1658469620,14/12/11,BANNER BUSINESS SUPPLIES,"1,360.20",Printing paper
1658469622,14/12/11,BANNER BUSINESS SUPPLIES,"1,360.20",Printing paper
1658469624,14/12/11,BANNER BUSINESS SUPPLIES,"1,360.20",Printing paper
1659511944,15/12/11,MICROSOFT STOR/BIBIT,569.97,IT software
1659511946,15/12/11,MICROSOFT STOR/BIBIT,569.97,IT software
1659512005,15/12/11,QA-IQ LTD,555.00,Training Course
1659511981,15/12/11,STATIONERY OFFICE BOOK,"1,000.00","Copies of Parliamentary Business/Order papers, Bills and Amendments  "
1659511928,15/12/11,STATIONERY OFFICE BOOK,501.17,Purchase of publications
